FIRST_OCCURRENCE_DATE,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,GEO_LON,GEO_LAT,DISTRICT_ID,NEIGHBORHOOD_ID,DAY
2009-01-02 16:44:59,burglary-residence-by-force,burglary,-105.01785249999999,39.7818524,1,sunnyside,Friday
2009-01-02 17:00:00,criminal-mischief-mtr-veh,public-disorder,-105.0478787,39.6396037,4,fort-logan,Friday
2009-01-02 17:00:00,theft-items-from-vehicle,theft-from-motor-vehicle,-105.01748390000002,39.7537287,1,jefferson-park,Friday
2009-01-02 17:00:00,theft-parts-from-vehicle,theft-from-motor-vehicle,-104.9312889,39.6782158,3,goldsmith,Friday
2009-01-02 17:29:59,theft-items-from-vehicle,theft-from-motor-vehicle,-104.9719706,39.675160600000005,3,university,Friday
2009-01-02 17:55:00,weapon-by-prev-offender-powpo,all-other-crimes,-104.9943021,39.765993200000004,1,globeville,Friday
2009-01-02 18:00:00,criminal-mischief-mtr-veh,public-disorder,-104.9591679,39.6782321,3,university-park,Friday
2009-01-02 18:00:00,theft-items-from-vehicle,theft-from-motor-vehicle,-104.9385563,39.6797689,3,university-hills,Friday
2009-01-02 18:00:00,criminal-mischief-mtr-veh,public-disorder,-104.9733416,39.6766328,3,university,Friday
2009-01-02 18:00:00,theft-of-motor-vehicle,auto-theft,-104.9846524,39.7353417,6,capitol-hill,Friday
2009-01-02 18:00:00,criminal-mischief-mtr-veh,public-disorder,-104.98211059999998,39.7593516,2,five-points,Friday
2009-01-02 18:20:00,assault-dv,other-crimes-against-persons,-104.95206709999998,39.7613596,2,skyland,Friday
2009-01-02 18:30:00,theft-bicycle,larceny,-104.9897807,39.7440117,6,cbd,Friday
2009-01-02 18:30:00,theft-of-motor-vehicle,auto-theft,-105.0393113,39.7439525,1,west-colfax,Friday
2009-01-02 18:49:59,theft-from-bldg,larceny,-104.9970131,39.7490831,6,union-station,Friday
2009-01-02 18:59:59,theft-parts-from-vehicle,theft-from-motor-vehicle,-104.98717649999999,39.7451342,6,north-capitol-hill,Friday
2009-01-02 18:59:59,theft-of-motor-vehicle,auto-theft,-104.97377140000002,39.684695,3,platt-park,Friday
2009-01-02 18:59:59,burglary-business-by-force,burglary,-104.9823629,39.7579362,2,five-points,Friday
2009-01-02 18:59:59,theft-items-from-vehicle,theft-from-motor-vehicle,-104.9820432,39.7434316,6,north-capitol-hill,Friday
2009-01-02 19:30:00,theft-unauth-use-of-ftd,white-collar-crime,-105.00118940000002,39.7499382,6,union-station,Friday
2009-01-02 19:30:00,theft-items-from-vehicle,theft-from-motor-vehicle,-105.00118940000002,39.7499382,6,union-station,Friday
2009-01-02 20:00:00,criminal-mischief-graffiti,public-disorder,-104.96506240000001,39.7574525,2,whittier,Friday
2009-01-02 20:00:00,theft-items-from-vehicle,theft-from-motor-vehicle,-104.97703519999999,39.717807,3,speer,Friday
2009-01-02 20:00:00,criminal-mischief-mtr-veh,public-disorder,-105.0517943,39.7299065,1,villa-park,Friday
2009-01-02 20:19:59,drug-synth-narcotic-possess,drug-alcohol,-105.04867639999999,39.681242499999996,4,harvey-park,Friday
2009-01-02 20:19:59,criminal-mischief-mtr-veh,public-disorder,-104.92642839999999,39.7273718,2,hale,Friday
2009-01-02 20:29:59,criminal-mischief-mtr-veh,public-disorder,-104.98196840000001,39.737194,6,capitol-hill,Friday
2009-01-02 20:29:59,theft-other,larceny,-105.05990109999999,39.6539059,4,bear-valley,Friday
2009-01-02 20:45:00,theft-items-from-vehicle,theft-from-motor-vehicle,-104.9844922,39.730045399999995,6,capitol-hill,Friday
2009-01-02 21:00:00,theft-items-from-vehicle,theft-from-motor-vehicle,-104.8648864,39.777914700000004,5,montbello,Friday
2009-01-02 21:00:00,theft-of-motor-vehicle,auto-theft,-105.0089206,39.695679999999996,4,ruby-hill,Friday
2009-01-02 21:00:00,fraud-identity-theft,white-collar-crime,-104.97187659999999,39.7452696,6,city-park-west,Friday
2009-01-02 21:08:00,robbery-street,robbery,-104.9061418,39.752967,2,north-park-hill,Friday
2009-01-02 21:10:00,drug-pcs-other-drug,drug-alcohol,-105.0063319,39.7863343,1,chaffee-park,Friday
2009-01-02 21:30:00,theft-items-from-vehicle,theft-from-motor-vehicle,-104.77123259999999,39.809241899999996,5,dia,Friday
2009-01-02 21:30:00,theft-of-motor-vehicle,auto-theft,-104.9818588,39.714004100000004,3,speer,Friday
2009-01-02 21:59:59,criminal-mischief-graffiti,public-disorder,-104.9897445,39.717212100000005,3,baker,Friday
